Activity ID	Primary Resource	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)
 042.0 Open 001	PSE19.McCorvey-PSE	PSE/Maintenance Procure SG Special Tooling	01-Nov-16	21-Nov-16	01-Feb-17	21-Feb-17
 062.0 PIMP03	E46.Van Sicklen-F&A	Personnel Qualified to Support Program	02-Nov-16	02-Nov-16	29-Nov-16	29-Nov-16
 062.0 PIMP11	E46.Van Sicklen-F&A	Program Gaps Resolved	31-Oct-16	23-Nov-16	31-Oct-16	30-Nov-16
 097.0 PDEV01	PSE07.Free-PSE	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	03-Nov-16	03-Nov-16	01-Dec-16	01-Dec-16
 097.0 PDEV09	PSE07.Free-PSE	Draft "Program Development Phase Completion Document"	03-Nov-16	21-Nov-16	28-Nov-16	30-Nov-16
 097.0 PDEV10	PSE07.Free-PSE	Conduct Program Development Complete Review	22-Nov-16	30-Nov-16	01-Dec-16	07-Dec-16
 099.0 Open Item 001	PSE07.Free-PSE	Work with Design Engineering to ensure Welding Records/Documentation included on standard Infor Turnover punchlist	08-Nov-16	21-Dec-16	01-Nov-16	01-Nov-16
 099.0 Open Item 002	MMR.Mech supv	Maintenance to Determine Maintenanace Training Need Date for Qualified Welders	08-Nov-16	30-Nov-16	04-Nov-16	28-Nov-16
 099.0 Open Item 003	PSE07.Free-PSE	Gap Analysis of VCS Unit 1 qualified WPSs	08-Nov-16	06-Feb-17	01-Nov-16	30-Jan-17
 099.0 Open Item 004	PSE07.Free-PSE	LAR - Confirm no impact on Program/Procedures or make changes as necessary			01-Nov-16	18-Nov-16
 099.0 Open Item 005	PSE07.Free-PSE	LIC Commitments - Ensure listed commitments for 099.0 are reviewed, documented, confirmed			01-Nov-16	18-Nov-16
 099.0 Open Item 006	PSE07.Free-PSE	Review ITAACs assigned to PSE for Welding Program impact			01-Nov-16	18-Nov-16
 099.0 PAD20	PSE07.Free-PSE	Program Development 50% Review Actions Closed	31-Oct-16	09-Nov-16	31-Oct-16	09-Nov-16
 099.0 PIMP05 U3	PSE07.Free-PSE	Software Procured and Implemented	01-Nov-16	01-Nov-16	13-Mar-17	13-Mar-17
 106.0 Open Item 1	PSE16.Felch-PSE	Verify Rotork applicability for MOV Program	02-Nov-16	22-Nov-16	15-Nov-16	23-Nov-16
 106.0 PAD20	PSE16.Felch-PSE	Program Development 50% Review Actions Closed	08-Sep-16	01-Nov-16	08-Sep-16	10-Nov-16
 106.0 PAD21	PSE16.Felch-PSE	Open Items from Program Development 50% Review Identified in Schedule	08-Sep-16	01-Nov-16	08-Sep-16	10-Nov-16
 106.0 PIMP07	PSE16.Felch-PSE	Purchase Requisitions for Implementation Generated	02-Nov-16	22-Nov-16	01-Dec-16	21-Dec-16
 106.0 PIMP08	PSE16.Felch-PSE	Procurements Closed (incl. Spare Parts)	23-Nov-16	23-Nov-16	22-Dec-16	22-Dec-16
 107.0 EP35	PSE06.Terry-PSE	AOV Program - Expert Panel #9 Attachment Review	31-Oct-16	07-Nov-16	31-Oct-16	07-Nov-16
 107.0 EP36	PSE06.Terry-PSE	AOV Program - Incorporate Expert Panel #9 Comments	08-Nov-16	09-Nov-16	07-Nov-16	09-Nov-16
 107.0 EP37	PSE16.Felch-PSE	AOV Program - Expert Panel #9 Meeting	10-Nov-16	10-Nov-16	10-Nov-16	10-Nov-16
 107.0 EP38	PSE06.Terry-PSE	AOV Program - Prepare Expert Panel #10 Attachments	10-Nov-16	17-Nov-16	15-Nov-16	21-Nov-16
 107.0 EP39	PSE06.Terry-PSE	AOV Program - Expert Panel #10 Attachment Review	18-Nov-16	28-Nov-16	23-Nov-16	28-Nov-16
 107.0 EP40	PSE06.Terry-PSE	AOV Program - Incorporate Expert Panel #10 Comments	29-Nov-16	30-Nov-16	29-Nov-16	30-Nov-16
 107.0 EP42	PSE06.Terry-PSE	AOV Program - Prepare Expert Panel #11 Attachments	17-Nov-16	23-Nov-16	21-Nov-16	28-Nov-16
 107.0 EP46	PSE06.Terry-PSE	AOV Program - Compile Expert Panel Challenge Meeting Attachments	23-Nov-16	01-Dec-16	21-Nov-16	01-Dec-16
 107.0 PAD20	PSE16.Felch-PSE	Program Development 50% Review Actions Closed	08-Sep-16	01-Nov-16	08-Sep-16	08-Dec-16
 107.0 PAD21	PSE16.Felch-PSE	Open Items from Program Development 50% Review Identified in Schedule	08-Sep-16	01-Nov-16	08-Sep-16	08-Dec-16
 107.0 PIMP07	PSE16.Felch-PSE	Purchase Requisitions for Implementation Generated	02-Nov-16	22-Nov-16	09-Dec-16	03-Jan-17
 107.0 PIMP08	PSE16.Felch-PSE	Procurements Closed (incl. Spare Parts)	23-Nov-16	23-Nov-16	04-Jan-17	04-Jan-17
 119.0 PIMP05 U2	PSE33.Yang-PSE	Software Procured and Implemented	08-Feb-17	08-Feb-17	28-Nov-16	28-Nov-16
 119.0 PIMP05 U3	PSE33.Yang-PSE	Software Procured and Implemented	08-Feb-17	08-Feb-17	28-Nov-16	28-Nov-16
 119.0 PIMP08	PSE33.Yang-PSE	Procurements Closed (incl. Spare Parts)	01-Nov-16	01-Nov-16	01-Nov-16	01-Nov-16
 121.6 PAD20	PSE05.Simmons. C-PSE	Program Development 50% Review Actions Closed	23-Sep-16	04-Nov-16	23-Sep-16	11-Nov-16
 121.6 PDEV02	PSE05.Simmons. C-PSE	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	07-Oct-16	30-Nov-16	07-Oct-16	29-Nov-16
 121.6 PDEV03	PSE05.Simmons. C-PSE	Program Specific Training Material and Qualifications Developed and Approved	07-Oct-16	04-Nov-16	07-Oct-16	04-Nov-16
 121.6 PDEV03.1	DM20.DM Trn	Q SWYD/SFMR Access - Switchyard Qualification	07-Oct-16	03-Nov-16	07-Oct-16	05-Dec-16
 121.6 PDEV09	PSE05.Simmons. C-PSE	Draft "Program Development Phase Completion Document"	10-Nov-16	14-Nov-16	14-Nov-16	16-Nov-16
 121.6 PDEV10	PSE05.Simmons. C-PSE	Conduct Program Development Complete Review	01-Dec-16	05-Dec-16	17-Nov-16	21-Nov-16
 121.6 PDEV11	PSE05.Simmons. C-PSE	Program Development Complete Review Actions Closed	06-Dec-16	09-Dec-16	22-Nov-16	05-Dec-16
 122.1 PDEV03	PSE17.Metzger-PSE	Program Specific Training Material and Qualifications Developed and Approved	15-Nov-16	15-Nov-16	15-Dec-16	15-Dec-16
 122.2 PDEV05	PSE20.Post-PSE	Purchase Requisitions for Development Generated	26-Oct-16	15-Nov-16	26-Oct-16	16-Nov-16
 122.2 PDEV06	PSE20.Post-PSE	Spare Parts - Evaluate List and Identify Gaps	01-Nov-16	21-Nov-16	01-Nov-16	02-Dec-16
 122.2 PDEV07	PSE20.Post-PSE	Spare Parts - Gap Activities Identified in Schedule	22-Nov-16	01-Dec-16	30-Nov-16	07-Dec-16
 122.3 PDEV01	PSE28.Greene-PSE	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	16-Nov-16	16-Nov-16	15-Dec-16	15-Dec-16
 122.3 PDEV03	PSE28.Greene-PSE	Program Specific Training Material and Qualifications Developed and Approved	02-Nov-16	02-Nov-16	02-Dec-16	02-Dec-16
 122.5 PDEV09	PSE02.Shank-PSE	Draft "Program Development Phase Completion Document"	26-Oct-16	15-Nov-16	26-Oct-16	30-Nov-16
 122.5 PDEV10	PSE02.Shank-PSE	Conduct Program Development Complete Review	16-Nov-16	22-Nov-16	07-Dec-16	07-Dec-16
 122.5 PDEV11	PSE02.Shank-PSE	Program Development Complete Review Actions Closed	23-Nov-16	15-Dec-16	08-Dec-16	28-Dec-16
 122.8 PAD03	PSE04.Schmick-PSE	Regulatory Basis of Program Defined	01-Dec-16	14-Dec-16	04-Nov-16	04-Nov-16
 122.8 PAD04	PSE04.Schmick-PSE	Industry Bases of Program Reviewed	01-Dec-16	14-Dec-16	04-Nov-16	04-Nov-16
 122.8 PAD05	PSE04.Schmick-PSE	Analysis Portion of Program Development Phase Complete	15-Dec-16	15-Dec-16	04-Nov-16	04-Nov-16
 122.8 PAD06	PSE04.Schmick-PSE	Stakeholders Identified & Stakeholder Analysis Performed	15-Dec-16	30-Dec-16	04-Nov-16	07-Nov-16
 122.8 PAD07	PSE04.Schmick-PSE	Program Procedures Identified	15-Dec-16	21-Dec-16	04-Nov-16	18-Nov-16
 122.8 PAD08	PSE04.Schmick-PSE	Program Specific Training Material and Qualifications Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.8 PAD09	PSE04.Schmick-PSE	NRC/Code Inspections Required for Program Identified	15-Dec-16	21-Dec-16	04-Nov-16	18-Nov-16
 122.8 PAD10	PSE04.Schmick-PSE	ITAACS Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.8 PAD11	PSE04.Schmick-PSE	Commitments and COL Requirements Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.8 PAD12	PSE04.Schmick-PSE	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	15-Dec-16	30-Dec-16	04-Nov-16	18-Nov-16
 122.8 PAD14	PSE04.Schmick-PSE	Information Turnover Needs Identified	15-Dec-16	30-Dec-16	04-Nov-16	08-Nov-16
 122.8 PAD15	PSE04.Schmick-PSE	Benchmarking/Self-Assessment Needs Identified	15-Dec-16	21-Dec-16	04-Nov-16	08-Nov-16
 122.8 PAD16	PSE04.Schmick-PSE	Procurements Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.8 PAD17	PSE04.Schmick-PSE	Program Scope Defined	03-Jan-17	03-Jan-17	18-Nov-16	18-Nov-16
 122.8 PAD18	PSE04.Schmick-PSE	Develop Program Schedule	03-Jan-17	16-Jan-17	18-Nov-16	05-Dec-16
 122.9 PAD03	PSE04.Schmick-PSE	Regulatory Basis of Program Defined	01-Dec-16	14-Dec-16	04-Nov-16	04-Nov-16
 122.9 PAD04	PSE04.Schmick-PSE	Industry Bases of Program Reviewed	01-Dec-16	14-Dec-16	04-Nov-16	04-Nov-16
 122.9 PAD05	PSE04.Schmick-PSE	Analysis Portion of Program Development Phase Complete	15-Dec-16	15-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD06	PSE04.Schmick-PSE	Stakeholders Identified & Stakeholder Analysis Performed	15-Dec-16	30-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD07	PSE04.Schmick-PSE	Program Procedures Identified	15-Dec-16	21-Dec-16	04-Nov-16	18-Nov-16
 122.9 PAD08	PSE04.Schmick-PSE	Program Specific Training Material and Qualifications Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD09	PSE04.Schmick-PSE	NRC/Code Inspections Required for Program Identified	15-Dec-16	21-Dec-16	04-Nov-16	18-Nov-16
 122.9 PAD10	PSE04.Schmick-PSE	ITAACS Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD11	PSE04.Schmick-PSE	Commitments and COL Requirements Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD12	PSE04.Schmick-PSE	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	15-Dec-16	30-Dec-16	04-Nov-16	18-Nov-16
 122.9 PAD13	PSE04.Schmick-PSE	Software Needs Identified	15-Dec-16	21-Dec-16	31-Oct-16	04-Nov-16
 122.9 PAD14	PSE04.Schmick-PSE	Information Turnover Needs Identified	15-Dec-16	30-Dec-16	04-Nov-16	08-Nov-16
 122.9 PAD15	PSE04.Schmick-PSE	Benchmarking/Self-Assessment Needs Identified	15-Dec-16	21-Dec-16	04-Nov-16	08-Nov-16
 122.9 PAD16	PSE04.Schmick-PSE	Procurements Identified	15-Dec-16	21-Dec-16	04-Nov-16	07-Nov-16
 122.9 PAD17	PSE04.Schmick-PSE	Program Scope Defined	03-Jan-17	03-Jan-17	18-Nov-16	18-Nov-16
 122.9 PAD18	PSE04.Schmick-PSE	Develop Program Schedule	03-Jan-17	16-Jan-17	18-Nov-16	05-Dec-16
 123.1 PDEV03	PSE03.Ramage-PSE	Program Specific Training Material and Qualifications Developed and Approved	08-Dec-16	08-Dec-16	15-Nov-16	05-Dec-16
 123.1 PDEV05	PSE03.Ramage-PSE	Purchase Requisitions for Development Generated	01-Nov-16	21-Nov-16	01-Nov-16	03-Nov-16
 123.1 PDEV09	PSE03.Ramage-PSE	Draft "Program Development Phase Completion Document"	08-Dec-16	13-Dec-16	15-Nov-16	21-Nov-16
 123.1 PDEV10	PSE03.Ramage-PSE	Conduct Program Development Complete Review	14-Dec-16	16-Dec-16	28-Nov-16	05-Dec-16
 123.1 PIMP07	PSE03.Ramage-PSE	Purchase Requisitions for Implementation Generated	18-Oct-16	07-Nov-16	18-Oct-16	03-Nov-16
 123.1 PIMP08	PSE03.Ramage-PSE	Procurements Closed (incl. Spare Parts)	22-Nov-16	22-Nov-16	07-Nov-16	08-Nov-16
 123.3 PDEV03	PSE28.Greene-PSE	Program Specific Training Material and Qualifications Developed and Approved	02-Nov-16	02-Nov-16	02-Dec-16	02-Dec-16
 124.0 Open Item 1	PSE29.McLellan-PSE	Evaluate and Determine Ownership of Procedures Needed for 124.0 Development & Implementation	17-Oct-16	04-Nov-16	17-Oct-16	09-Nov-16
 124.0 PAD20	PSE29.McLellan-PSE	Program Development 50% Review Actions Closed	06-Sep-16	01-Nov-16	06-Sep-16	21-Nov-16
 124.0 PAD21	PSE29.McLellan-PSE	Open Items from Program Development 50% Review Identified in Schedule	23-Sep-16	01-Nov-16	23-Sep-16	21-Nov-16
 124.0 PDEV01	PSE29.McLellan-PSE	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	07-Nov-16	07-Nov-16	06-Dec-16	06-Dec-16
 124.0 PDEV02	PSE29.McLellan-PSE	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	07-Nov-16	07-Nov-16	10-Nov-16	10-Nov-16
 124.0 PDEV05	PSE29.McLellan-PSE	Purchase Requisitions for Development Generated	14-Oct-16	03-Nov-16	14-Oct-16	15-Nov-16
 124.0 PDEV06	PSE29.McLellan-PSE	Spare Parts - Evaluate List and Identify Gaps	02-Nov-16	22-Nov-16	09-Nov-16	28-Nov-16
 124.0 PDEV07	PSE29.McLellan-PSE	Spare Parts - Gap Activities Identified in Schedule	23-Nov-16	01-Dec-16	29-Nov-16	06-Dec-16
 124.0 PIMP01	PSE29.McLellan-PSE	Procedures Implemented	07-Nov-16	07-Nov-16	13-Dec-17	13-Dec-17
 508.0 PDEV01	PSE06.Terry-PSE	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	08-Feb-17	08-Feb-17	21-Nov-16	21-Nov-16
 514.0 PAD02	PSE17.Metzger-PSE	Intent of Program Defined	01-Nov-16	02-Nov-16	01-Nov-16	02-Nov-16
 514.0 PAD03	PSE17.Metzger-PSE	Regulatory Basis of Program Defined	01-Nov-16	04-Nov-16	01-Nov-16	04-Nov-16
 514.0 PAD04	PSE17.Metzger-PSE	Industry Bases of Program Reviewed	01-Nov-16	04-Nov-16	01-Nov-16	04-Nov-16
 514.0 PAD05	PSE17.Metzger-PSE	Analysis Portion of Program Development Phase Complete	07-Nov-16	07-Nov-16	08-Nov-16	08-Nov-16
 514.0 PAD06	PSE17.Metzger-PSE	Stakeholders Identified & Stakeholder Analysis Performed	07-Nov-16	10-Nov-16	08-Nov-16	08-Nov-16
 514.0 PAD07	PSE17.Metzger-PSE	Program Procedures Identified	07-Nov-16	07-Nov-16	09-Nov-16	17-Nov-16
 514.0 PAD08	PSE17.Metzger-PSE	Program Specific Training Material and Qualifications Identified	07-Nov-16	07-Nov-16	09-Nov-16	09-Nov-16
 514.0 PAD09	PSE17.Metzger-PSE	NRC/Code Inspections Required for Program Identified	07-Nov-16	07-Nov-16	08-Nov-16	09-Nov-16
 514.0 PAD10	PSE17.Metzger-PSE	ITAACS Identified	07-Nov-16	07-Nov-16	08-Nov-16	09-Nov-16
 514.0 PAD11	PSE17.Metzger-PSE	Commitments and COL Requirements Identified	07-Nov-16	07-Nov-16	08-Nov-16	09-Nov-16
 514.0 PAD12	PSE17.Metzger-PSE	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	07-Nov-16	10-Nov-16	09-Nov-16	17-Nov-16
 514.0 PAD13	PSE17.Metzger-PSE	Software Needs Identified	07-Nov-16	08-Nov-16	09-Nov-16	09-Nov-16
 514.0 PAD14	PSE17.Metzger-PSE	Information Turnover Needs Identified	07-Nov-16	10-Nov-16	09-Nov-16	17-Nov-16
 514.0 PAD15	PSE17.Metzger-PSE	Benchmarking/Self-Assessment Needs Identified	07-Nov-16	07-Nov-16	09-Nov-16	09-Nov-16
 514.0 PAD16	PSE17.Metzger-PSE	Procurements Identified	07-Nov-16	08-Nov-16	09-Nov-16	09-Nov-16
 514.0 PAD17	PSE17.Metzger-PSE	Program Scope Defined	11-Nov-16	11-Nov-16	11-Nov-16	11-Nov-16
 514.0 PAD18	PSE17.Metzger-PSE	Develop Program Schedule	11-Nov-16	16-Nov-16	14-Nov-16	17-Nov-16
 AP2-ILO-Class 2-K	TO.Trn Ops	AP2-ILO-Class 2 NRC OPERATING EXAM	29-Sep-16	04-Nov-16	29-Sep-16	06-Dec-16
 AP2-ILO-Class 3-G	TO.Trn Ops	Startup Certifications	03-Oct-16	01-Nov-16	03-Oct-16	28-Oct-16
 AP2-ILO-Class 3-H	TO.Trn Ops	AP2-ILO-Class 3 GOP	02-Nov-16	04-Jan-17	31-Oct-16	16-Dec-16
 APP-GW-GEI-300a	PSE21.Troficanto-PSE	Containment PSI Program Plan -  Rev00 - Owner Draft Review	08-Nov-16	14-Nov-16	08-Nov-16	14-Nov-16
 APP-GW-GEI-300b	PSE21.Troficanto-PSE	Containment PSI Program Plan -  Rev00 - WEC resolve comments	15-Nov-16	07-Dec-16	15-Nov-16	07-Dec-16
 BDSFID115	PSE-36.Yang-PSE ER	Load Work-In-Progress Equipment List into Database	01-Nov-16	01-Nov-16	01-Nov-16	01-Nov-16
 BDSMR1020	PSE-37.Sonnett-PSE PM/MR	MR Function Scoping and Component Mapping	26-Oct-16	04-Nov-16	26-Oct-16	02-Dec-16
 BDSMR1030	E67.Sajjad-PRA	Provide System PRA Data	04-Nov-16	11-Nov-16	09-Dec-16	16-Dec-16
 BDSMR1220	PSE-37.Sonnett-PSE PM/MR	SCE&G MR Safety Significance Determination	07-Nov-16	07-Nov-16	19-Dec-16	19-Dec-16
 BDSMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	18-Nov-16	28-Nov-16	28-Dec-16	04-Jan-17
 BDSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	29-Nov-16	29-Nov-16	05-Jan-17	05-Jan-17
 BDSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	30-Nov-16	06-Dec-16	06-Jan-17	12-Jan-17
 BDSMR1420	PSE-37.Sonnett-PSE PM/MR	SCE&G MR Perf. Criteria Development	14-Nov-16	17-Nov-16	20-Dec-16	27-Dec-16
 BLDG 338 F DRILL	PSE08.Earnest-PSE	Obtain & Validate Fire Drill Record for BLDG 338 (Awaiting WECTEC DOCS)	14-Nov-16	17-Nov-16	01-Dec-16	06-Dec-16
 BLDG 338 FHA Verify	PSE08.Earnest-PSE	Verify the Building 338 Against Fire Hazard Analysis (VSG-0000-AF-800000) (Awaiting 338 Completion)	09-Nov-16	15-Nov-16	25-Nov-16	28-Nov-16
 BLDG 338 FPFS	PSE08.Earnest-PSE	Verify Fire Protection Features Documentation, Hydro Test, Detection Sys Commissioning (Awaiting WECTEC DOCS)	21-Oct-16	07-Nov-16	21-Oct-16	07-Dec-16
 BLDG 338 Pre-Plan	PSE08.Earnest-PSE	Verify Fire Pre-Plan for BLDG 338 (Awaiting WECTEC DOCS)	09-Nov-16	10-Nov-16	01-Dec-16	02-Dec-16
 Bldg 338 ReqV	PSE08.Earnest-PSE	NRC/NEIL Requirements for Bldg 338 Acceptance have been Verified	18-Nov-16	18-Nov-16	08-Dec-16	08-Dec-16
 BLDG 338 Verify	PSE08.Earnest-PSE	Inspect Building 338 for Fire Protection Condition (Awaiting 338 Completion)	09-Nov-16	15-Nov-16	25-Nov-16	28-Nov-16
 BLDG338 IA	PSE08.Earnest-PSE	Sign and Formally Transmit Interface Agreement (Hugh Edwards)	08-Jul-16	01-Nov-16	08-Jul-16	01-Nov-16
 CASFEG1030	PSE-34.Dao-PSE FEG	SCE&G Initial Review of FEG Mapping	30-Nov-16	06-Dec-16	06-Jan-17	12-Jan-17
 CASMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	07-Nov-16	11-Nov-16	11-Nov-16	07-Dec-16
 CASMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	14-Nov-16	14-Nov-16	08-Dec-16	08-Dec-16
 CASMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	16-Nov-16	22-Nov-16	16-Dec-16	22-Dec-16
 ChemTrn T2D-E	TC.Trn Chem	Tier 2D-B discipline (class 2) Chem Training Implement	14-Nov-16	16-Dec-16	28-Nov-16	31-Mar-17
