	Activity ID	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)	rsrc_id	rsrc_name	no_change_start	no_change_finish	moved_out_start	moved_out_finish	T-0 Start (BL0)	T-0 Finish (BL0)
15	 013.0 PDEV01	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	2016-11-22	2016-11-22	2016-12-09	2016-12-09	PSE22	Garrett-PSE	False	False	True	True	False	False
16	 015.0 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-11-15	2016-11-15	2016-12-15	2016-12-15	PSE17	Metzger-PSE	False	False	True	True	False	False
17	 018.0 Open Item 1	Review Design Report on Holder Tubes	2016-10-07	2016-11-17	2016-10-07	2017-02-01	PSE06	Terry-PSE	False	False	False	True	False	False
18	 018.0 Open Item 2	Who will load the capsules and when?	2016-10-07	2016-11-17	2016-10-07	2017-02-01	PSE06	Terry-PSE	False	False	False	True	False	False
19	 018.0 Open Item 3	A materials engineer will be needed to review capsule report	2016-10-07	2016-11-17	2016-10-07	2016-11-15	PSE06	Terry-PSE	False	True	False	False	False	True
20	 018.0 Open Item 4	Confirm there is a bracket in the SFP to hand capsule tool	2016-10-07	2016-11-17	2016-10-07	2017-02-01	PSE06	Terry-PSE	False	False	False	True	False	False
21	 018.0 Open Item 5	Will a Transport Can be supplied for the capsules?	2016-10-07	2016-11-17	2016-10-07	2017-02-01	PSE06	Terry-PSE	False	False	False	True	False	False
22	 018.0 PIMP09	Open Items Closed	2016-11-18	2016-11-18	2016-11-30	2016-11-30	PSE06	Terry-PSE	True	True	False	False	True	True
23	 020.0 PDEV09	"Draft ""Program Development Phase Completion Document"""	2016-10-26	2016-11-15	2016-10-26	2016-11-09	PSE02	Shank-PSE	False	True	False	False	False	True
24	 020.0 PDEV10	Conduct Program Development Complete Review	2016-11-16	2016-11-16	2016-11-10	2016-11-10	PSE02	Shank-PSE	True	True	False	False	True	True
25	 020.0 PDEV11	Program Development Complete Review Actions Closed	2016-11-17	2016-12-09	2016-11-18	2016-12-12	PSE02	Shank-PSE	True	False	False	False	True	False
26	 020.0 PDEV12	Open Items from Program Development Complete Review Identified in Schedule	2016-11-17	2016-11-23	2016-11-18	2016-11-30	PSE02	Shank-PSE	True	True	False	False	True	True
27	 021.0 Open Item 1	Trending/Ovation - How will leak rates be documented and kept track of?	2016-10-14	2016-11-28	2016-10-14	2016-11-15	PSE06	Terry-PSE	False	True	False	False	False	True
28	 021.0 Open Item 3	The impacts of changing the amount of unidentified from 1gpm to .5gpm	2016-10-07	2016-11-17	2016-10-07	2016-11-15	PSE06	Terry-PSE	False	True	False	False	False	True
29	 024.0 DEV14	Provide PM activities and frequencies for FPP SSC’s	2016-11-01	2017-05-22	2016-12-01	2017-06-20	PSE34	FP-PSE	False	False	True	False	False	False
30	 024.0 DEV2	Coordinate purchase orders for resources with Procurement	2016-06-15	2016-11-01	2016-06-15	2016-12-01	PSE34	FP-PSE	False	False	False	True	False	False
31	 024.0 DEV227	Provide acceptance criteria/program health criteria for monitoring tests inspections	2016-11-01	2017-05-22	2016-12-01	2017-06-20	PSE34	FP-PSE	False	False	True	False	False	False
32	 024.0 DEV228	Identify and Provide program SSC trending and reporting requirements (walkdowns, failure mechanisms)	2016-11-01	2017-09-26	2016-12-01	2017-10-24	PSE34	FP-PSE	False	False	True	False	False	False
33	 024.0 DEV229	Provide benchmark plan for maintaining program excellence standards	2016-11-01	2017-09-26	2016-12-01	2017-10-24	PSE34	FP-PSE	False	False	True	False	False	False
34	 024.0 DEV231	Coordinate with Training & Maintenance to Develop & Implement Maintenance Training for FPS System	2016-11-01	2016-11-07	2016-12-01	2016-12-07	PSE34	FP-PSE	False	False	True	True	False	False
35	 024.0 DEV232	Coordinate with Training & ERU to Develop & Implement Inspection and Testing Training for FPS System	2016-11-01	2016-11-07	2017-03-01	2017-03-07	ERU2	ERU	False	False	True	True	False	False
36	 024.0 DEV233	Coordinate with Training to Develop & Implement General Engineering Population Training	2016-11-01	2017-02-03	2016-12-01	2017-03-03	PSE34	FP-PSE	False	False	True	False	False	False
37	 024.0 DEV234	Coordinate with Training & ERU to Develop and Implement Fire Brigade Training	2016-11-01	2017-02-03	2017-03-01	2017-05-31	ERU2	ERU	False	False	True	False	False	False
38	 024.0 DEV7	Provide post maintenance testing criteria for maintenance activities	2016-11-01	2017-06-06	2016-12-01	2017-07-05	PSE34	FP-PSE	False	False	True	False	False	False
39	 024.0 DP9	Identify supporting content and inputs for development of FPP Training Procedures	2016-06-27	2016-11-01	2016-06-27	2017-03-31	ERU2	ERU	False	False	False	True	False	False
40	 037.3180	NND-AP-0006 for Security Trainers	2016-11-01	2016-12-06	2016-11-04	2017-01-18	N1	NPS	True	False	False	False	True	False
41	 037.3756	Implement New Range Improvement	2016-11-14	2017-02-28	2016-11-14	2017-02-28	N1	NPS	True	False	False	False	True	False
42	 042.0 Open 001	PSE/Maintenance Procure SG Special Tooling	2016-11-01	2016-11-21	2017-02-01	2017-02-21	PSE19	McCorvey-PSE	False	False	True	True	False	False
43	 062.0 PIMP03	Personnel Qualified to Support Program	2016-11-02	2016-11-02	2016-11-29	2016-11-29	E46	Van Sicklen-F&A	True	True	False	False	True	True
44	 062.0 PIMP11	Program Gaps Resolved	2016-10-31	2016-11-23	2016-10-31	2016-11-30	E46	Van Sicklen-F&A	False	True	False	False	False	True
45	 097.0 PDEV01	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	2016-11-03	2016-11-03	2016-12-01	2016-12-01	PSE07	Free-PSE	False	False	True	True	False	False
46	 097.0 PDEV09	"Draft ""Program Development Phase Completion Document"""	2016-11-03	2016-11-21	2016-11-28	2016-11-30	PSE07	Free-PSE	True	True	False	False	True	True
47	 097.0 PDEV10	Conduct Program Development Complete Review	2016-11-22	2016-11-30	2016-12-01	2016-12-07	PSE07	Free-PSE	False	False	True	True	False	False
48	 099.0 Open Item 001	Work with Design Engineering to ensure Welding Records/Documentation included on standard Infor Turnover punchlist	2016-11-08	2016-12-21	2016-11-01	2016-11-01	PSE07	Free-PSE	True	False	False	False	True	True
49	 099.0 Open Item 002	Maintenance to Determine Maintenanace Training Need Date for Qualified Welders	2016-11-08	2016-11-30	2016-11-04	2016-11-28	MMR	Mech supv	True	True	False	False	True	True
50	 099.0 Open Item 003	Gap Analysis of VCS Unit 1 qualified WPSs	2016-11-08	2017-02-06	2016-11-01	2017-01-30	PSE07	Free-PSE	True	False	False	False	True	False
51	 099.0 Open Item 004	LAR - Confirm no impact on Program/Procedures or make changes as necessary			2016-11-01	2016-11-18	PSE07	Free-PSE	False	False	False	False	True	True
52	 099.0 Open Item 005	LIC Commitments - Ensure listed commitments for 099.0 are reviewed, documented, confirmed			2016-11-01	2016-11-18	PSE07	Free-PSE	False	False	False	False	True	True
53	 099.0 Open Item 006	Review ITAACs assigned to PSE for Welding Program impact			2016-11-01	2016-11-18	PSE07	Free-PSE	False	False	False	False	True	True
54	 099.0 PAD20	Program Development 50% Review Actions Closed	2016-10-31	2016-11-09	2016-10-31	2016-11-09	PSE07	Free-PSE	False	True	False	False	False	True
55	 099.0 PIMP05 U3	Software Procured and Implemented	2016-11-01	2016-11-01	2017-03-13	2017-03-13	PSE07	Free-PSE	False	False	True	True	False	False
56	 106.0 Open Item 1	Verify Rotork applicability for MOV Program	2016-11-02	2016-11-22	2016-11-15	2016-11-23	PSE16	Felch-PSE	True	True	False	False	True	True
57	 106.0 PAD20	Program Development 50% Review Actions Closed	2016-09-08	2016-11-01	2016-09-08	2016-11-10	PSE16	Felch-PSE	False	True	False	False	False	True
58	 106.0 PAD21	Open Items from Program Development 50% Review Identified in Schedule	2016-09-08	2016-11-01	2016-09-08	2016-11-10	PSE16	Felch-PSE	False	True	False	False	False	True
59	 106.0 PIMP07	Purchase Requisitions for Implementation Generated	2016-11-02	2016-11-22	2016-12-01	2016-12-21	PSE16	Felch-PSE	False	False	True	True	False	False
60	 106.0 PIMP08	Procurements Closed (incl. Spare Parts)	2016-11-23	2016-11-23	2016-12-22	2016-12-22	PSE16	Felch-PSE	False	False	True	True	False	False
61	 107.0 EP35	AOV Program - Expert Panel #9 Attachment Review	2016-10-31	2016-11-07	2016-10-31	2016-11-07	PSE06	Terry-PSE	False	True	False	False	False	True
62	 107.0 EP36	AOV Program - Incorporate Expert Panel #9 Comments	2016-11-08	2016-11-09	2016-11-07	2016-11-09	PSE06	Terry-PSE	True	True	False	False	True	True
63	 107.0 EP37	AOV Program - Expert Panel #9 Meeting	2016-11-10	2016-11-10	2016-11-10	2016-11-10	PSE16	Felch-PSE	True	True	False	False	True	True
64	 107.0 EP38	AOV Program - Prepare Expert Panel #10 Attachments	2016-11-10	2016-11-17	2016-11-15	2016-11-21	PSE06	Terry-PSE	True	True	False	False	True	True
65	 107.0 EP39	AOV Program - Expert Panel #10 Attachment Review	2016-11-18	2016-11-28	2016-11-23	2016-11-28	PSE06	Terry-PSE	True	True	False	False	True	True
66	 107.0 EP40	AOV Program - Incorporate Expert Panel #10 Comments	2016-11-29	2016-11-30	2016-11-29	2016-11-30	PSE06	Terry-PSE	True	True	False	False	True	True
67	 107.0 EP42	AOV Program - Prepare Expert Panel #11 Attachments	2016-11-17	2016-11-23	2016-11-21	2016-11-28	PSE06	Terry-PSE	True	True	False	False	True	True
68	 107.0 EP46	AOV Program - Compile Expert Panel Challenge Meeting Attachments	2016-11-23	2016-12-01	2016-11-21	2016-12-01	PSE06	Terry-PSE	True	False	False	False	True	False
69	 107.0 PAD20	Program Development 50% Review Actions Closed	2016-09-08	2016-11-01	2016-09-08	2016-12-08	PSE16	Felch-PSE	False	False	False	True	False	False
70	 107.0 PAD21	Open Items from Program Development 50% Review Identified in Schedule	2016-09-08	2016-11-01	2016-09-08	2016-12-08	PSE16	Felch-PSE	False	False	False	True	False	False
71	 107.0 PIMP07	Purchase Requisitions for Implementation Generated	2016-11-02	2016-11-22	2016-12-09	2017-01-03	PSE16	Felch-PSE	False	False	True	True	False	False
72	 107.0 PIMP08	Procurements Closed (incl. Spare Parts)	2016-11-23	2016-11-23	2017-01-04	2017-01-04	PSE16	Felch-PSE	False	False	True	True	False	False
73	 119.0 PIMP05 U2	Software Procured and Implemented	2017-02-08	2017-02-08	2016-11-28	2016-11-28	PSE33	Yang-PSE	False	False	False	False	True	True
74	 119.0 PIMP05 U3	Software Procured and Implemented	2017-02-08	2017-02-08	2016-11-28	2016-11-28	PSE33	Yang-PSE	False	False	False	False	True	True
75	 119.0 PIMP08	Procurements Closed (incl. Spare Parts)	2016-11-01	2016-11-01	2016-11-01	2016-11-01	PSE33	Yang-PSE	True	True	False	False	True	True
76	 121.6 PAD20	Program Development 50% Review Actions Closed	2016-09-23	2016-11-04	2016-09-23	2016-11-11	PSE05	Simmons	False	True	False	False	False	True
77	 121.6 PDEV02	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	2016-10-07	2016-11-30	2016-10-07	2016-11-29	PSE05	Simmons	False	True	False	False	False	True
78	 121.6 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-10-07	2016-11-04	2016-10-07	2016-11-04	PSE05	Simmons	False	True	False	False	False	True
79	 121.6 PDEV03.1	Q SWYD/SFMR Access - Switchyard Qualification	2016-10-07	2016-11-03	2016-10-07	2016-12-05	DM20	DM Trn	False	False	False	True	False	False
80	 121.6 PDEV09	"Draft ""Program Development Phase Completion Document"""	2016-11-10	2016-11-14	2016-11-14	2016-11-16	PSE05	Simmons	True	True	False	False	True	True
81	 121.6 PDEV10	Conduct Program Development Complete Review	2016-12-01	2016-12-05	2016-11-17	2016-11-21	PSE05	Simmons	False	False	False	False	True	True
82	 121.6 PDEV11	Program Development Complete Review Actions Closed	2016-12-06	2016-12-09	2016-11-22	2016-12-05	PSE05	Simmons	False	False	False	False	True	False
83	 122.1 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-11-15	2016-11-15	2016-12-15	2016-12-15	PSE17	Metzger-PSE	False	False	True	True	False	False
84	 122.2 PDEV05	Purchase Requisitions for Development Generated	2016-10-26	2016-11-15	2016-10-26	2016-11-16	PSE20	Post-PSE	False	True	False	False	False	True
85	 122.2 PDEV06	Spare Parts - Evaluate List and Identify Gaps	2016-11-01	2016-11-21	2016-11-01	2016-12-02	PSE20	Post-PSE	True	False	False	True	True	False
86	 122.2 PDEV07	Spare Parts - Gap Activities Identified in Schedule	2016-11-22	2016-12-01	2016-11-30	2016-12-07	PSE20	Post-PSE	True	False	False	False	True	False
87	 122.3 PDEV01	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	2016-11-16	2016-11-16	2016-12-15	2016-12-15	PSE28	Greene-PSE	False	False	True	True	False	False
88	 122.3 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-11-02	2016-11-02	2016-12-02	2016-12-02	PSE28	Greene-PSE	False	False	True	True	False	False
89	 122.5 PDEV09	"Draft ""Program Development Phase Completion Document"""	2016-10-26	2016-11-15	2016-10-26	2016-11-30	PSE02	Shank-PSE	False	True	False	False	False	True
90	 122.5 PDEV10	Conduct Program Development Complete Review	2016-11-16	2016-11-22	2016-12-07	2016-12-07	PSE02	Shank-PSE	False	False	True	True	False	False
91	 122.5 PDEV11	Program Development Complete Review Actions Closed	2016-11-23	2016-12-15	2016-12-08	2016-12-28	PSE02	Shank-PSE	False	False	True	False	False	False
92	 122.8 PAD03	Regulatory Basis of Program Defined	2016-12-01	2016-12-14	2016-11-04	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	True	True
93	 122.8 PAD04	Industry Bases of Program Reviewed	2016-12-01	2016-12-14	2016-11-04	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	True	True
94	 122.8 PAD05	Analysis Portion of Program Development Phase Complete	2016-12-15	2016-12-15	2016-11-04	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	True	True
95	 122.8 PAD06	Stakeholders Identified & Stakeholder Analysis Performed	2016-12-15	2016-12-30	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
96	 122.8 PAD07	Program Procedures Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
97	 122.8 PAD08	Program Specific Training Material and Qualifications Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
98	 122.8 PAD09	NRC/Code Inspections Required for Program Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
99	 122.8 PAD10	ITAACS Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
100	 122.8 PAD11	Commitments and COL Requirements Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
101	 122.8 PAD12	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	2016-12-15	2016-12-30	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
102	 122.8 PAD14	Information Turnover Needs Identified	2016-12-15	2016-12-30	2016-11-04	2016-11-08	PSE04	Schmick-PSE	False	False	False	False	True	True
103	 122.8 PAD15	Benchmarking/Self-Assessment Needs Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-08	PSE04	Schmick-PSE	False	False	False	False	True	True
104	 122.8 PAD16	Procurements Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
105	 122.8 PAD17	Program Scope Defined	2017-01-03	2017-01-03	2016-11-18	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
106	 122.8 PAD18	Develop Program Schedule	2017-01-03	2017-01-16	2016-11-18	2016-12-05	PSE04	Schmick-PSE	False	False	False	False	True	False
107	 122.9 PAD03	Regulatory Basis of Program Defined	2016-12-01	2016-12-14	2016-11-04	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	True	True
108	 122.9 PAD04	Industry Bases of Program Reviewed	2016-12-01	2016-12-14	2016-11-04	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	True	True
109	 122.9 PAD05	Analysis Portion of Program Development Phase Complete	2016-12-15	2016-12-15	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
110	 122.9 PAD06	Stakeholders Identified & Stakeholder Analysis Performed	2016-12-15	2016-12-30	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
111	 122.9 PAD07	Program Procedures Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
112	 122.9 PAD08	Program Specific Training Material and Qualifications Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
113	 122.9 PAD09	NRC/Code Inspections Required for Program Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
114	 122.9 PAD10	ITAACS Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
115	 122.9 PAD11	Commitments and COL Requirements Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
116	 122.9 PAD12	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	2016-12-15	2016-12-30	2016-11-04	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
117	 122.9 PAD13	Software Needs Identified	2016-12-15	2016-12-21	2016-10-31	2016-11-04	PSE04	Schmick-PSE	False	False	False	False	False	True
118	 122.9 PAD14	Information Turnover Needs Identified	2016-12-15	2016-12-30	2016-11-04	2016-11-08	PSE04	Schmick-PSE	False	False	False	False	True	True
119	 122.9 PAD15	Benchmarking/Self-Assessment Needs Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-08	PSE04	Schmick-PSE	False	False	False	False	True	True
120	 122.9 PAD16	Procurements Identified	2016-12-15	2016-12-21	2016-11-04	2016-11-07	PSE04	Schmick-PSE	False	False	False	False	True	True
121	 122.9 PAD17	Program Scope Defined	2017-01-03	2017-01-03	2016-11-18	2016-11-18	PSE04	Schmick-PSE	False	False	False	False	True	True
122	 122.9 PAD18	Develop Program Schedule	2017-01-03	2017-01-16	2016-11-18	2016-12-05	PSE04	Schmick-PSE	False	False	False	False	True	False
123	 123.1 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-12-08	2016-12-08	2016-11-15	2016-12-05	PSE03	Ramage-PSE	False	False	False	False	True	False
124	 123.1 PDEV05	Purchase Requisitions for Development Generated	2016-11-01	2016-11-21	2016-11-01	2016-11-03	PSE03	Ramage-PSE	True	True	False	False	True	True
125	 123.1 PDEV09	"Draft ""Program Development Phase Completion Document"""	2016-12-08	2016-12-13	2016-11-15	2016-11-21	PSE03	Ramage-PSE	False	False	False	False	True	True
126	 123.1 PDEV10	Conduct Program Development Complete Review	2016-12-14	2016-12-16	2016-11-28	2016-12-05	PSE03	Ramage-PSE	False	False	False	False	True	False
127	 123.1 PIMP07	Purchase Requisitions for Implementation Generated	2016-10-18	2016-11-07	2016-10-18	2016-11-03	PSE03	Ramage-PSE	False	True	False	False	False	True
128	 123.1 PIMP08	Procurements Closed (incl. Spare Parts)	2016-11-22	2016-11-22	2016-11-07	2016-11-08	PSE03	Ramage-PSE	True	True	False	False	True	True
129	 123.3 PDEV03	Program Specific Training Material and Qualifications Developed and Approved	2016-11-02	2016-11-02	2016-12-02	2016-12-02	PSE28	Greene-PSE	False	False	True	True	False	False
130	 124.0 Open Item 1	Evaluate and Determine Ownership of Procedures Needed for 124.0 Development & Implementation	2016-10-17	2016-11-04	2016-10-17	2016-11-09	PSE29	McLellan-PSE	False	True	False	False	False	True
131	 124.0 PAD20	Program Development 50% Review Actions Closed	2016-09-06	2016-11-01	2016-09-06	2016-11-21	PSE29	McLellan-PSE	False	True	False	False	False	True
132	 124.0 PAD21	Open Items from Program Development 50% Review Identified in Schedule	2016-09-23	2016-11-01	2016-09-23	2016-11-21	PSE29	McLellan-PSE	False	True	False	False	False	True
133	 124.0 PDEV01	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	2016-11-07	2016-11-07	2016-12-06	2016-12-06	PSE29	McLellan-PSE	False	False	True	True	False	False
134	 124.0 PDEV02	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	2016-11-07	2016-11-07	2016-11-10	2016-11-10	PSE29	McLellan-PSE	True	True	False	False	True	True
135	 124.0 PDEV05	Purchase Requisitions for Development Generated	2016-10-14	2016-11-03	2016-10-14	2016-11-15	PSE29	McLellan-PSE	False	True	False	False	False	True
136	 124.0 PDEV06	Spare Parts - Evaluate List and Identify Gaps	2016-11-02	2016-11-22	2016-11-09	2016-11-28	PSE29	McLellan-PSE	True	True	False	False	True	True
137	 124.0 PDEV07	Spare Parts - Gap Activities Identified in Schedule	2016-11-23	2016-12-01	2016-11-29	2016-12-06	PSE29	McLellan-PSE	True	False	False	False	True	False
138	 124.0 PIMP01	Procedures Implemented	2016-11-07	2016-11-07	2017-12-13	2017-12-13	PSE29	McLellan-PSE	False	False	True	True	False	False
139	 508.0 PDEV01	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	2017-02-08	2017-02-08	2016-11-21	2016-11-21	PSE06	Terry-PSE	False	False	False	False	True	True
140	 514.0 PAD02	Intent of Program Defined	2016-11-01	2016-11-02	2016-11-01	2016-11-02	PSE17	Metzger-PSE	True	True	False	False	True	True
141	 514.0 PAD03	Regulatory Basis of Program Defined	2016-11-01	2016-11-04	2016-11-01	2016-11-04	PSE17	Metzger-PSE	True	True	False	False	True	True
142	 514.0 PAD04	Industry Bases of Program Reviewed	2016-11-01	2016-11-04	2016-11-01	2016-11-04	PSE17	Metzger-PSE	True	True	False	False	True	True
143	 514.0 PAD05	Analysis Portion of Program Development Phase Complete	2016-11-07	2016-11-07	2016-11-08	2016-11-08	PSE17	Metzger-PSE	True	True	False	False	True	True
144	 514.0 PAD06	Stakeholders Identified & Stakeholder Analysis Performed	2016-11-07	2016-11-10	2016-11-08	2016-11-08	PSE17	Metzger-PSE	True	True	False	False	True	True
145	 514.0 PAD07	Program Procedures Identified	2016-11-07	2016-11-07	2016-11-09	2016-11-17	PSE17	Metzger-PSE	True	True	False	False	True	True
146	 514.0 PAD08	Program Specific Training Material and Qualifications Identified	2016-11-07	2016-11-07	2016-11-09	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
147	 514.0 PAD09	NRC/Code Inspections Required for Program Identified	2016-11-07	2016-11-07	2016-11-08	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
148	 514.0 PAD10	ITAACS Identified	2016-11-07	2016-11-07	2016-11-08	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
149	 514.0 PAD11	Commitments and COL Requirements Identified	2016-11-07	2016-11-07	2016-11-08	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
150	 514.0 PAD12	Start-Up/Pre-Op/ITP Testing, Monitoring, and Inspection Requirements Identified	2016-11-07	2016-11-10	2016-11-09	2016-11-17	PSE17	Metzger-PSE	True	True	False	False	True	True
151	 514.0 PAD13	Software Needs Identified	2016-11-07	2016-11-08	2016-11-09	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
152	 514.0 PAD14	Information Turnover Needs Identified	2016-11-07	2016-11-10	2016-11-09	2016-11-17	PSE17	Metzger-PSE	True	True	False	False	True	True
153	 514.0 PAD15	Benchmarking/Self-Assessment Needs Identified	2016-11-07	2016-11-07	2016-11-09	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
154	 514.0 PAD16	Procurements Identified	2016-11-07	2016-11-08	2016-11-09	2016-11-09	PSE17	Metzger-PSE	True	True	False	False	True	True
155	 514.0 PAD17	Program Scope Defined	2016-11-11	2016-11-11	2016-11-11	2016-11-11	PSE17	Metzger-PSE	True	True	False	False	True	True
156	 514.0 PAD18	Develop Program Schedule	2016-11-11	2016-11-16	2016-11-14	2016-11-17	PSE17	Metzger-PSE	True	True	False	False	True	True
157	 AP2-ILO-Class 2-K	AP2-ILO-Class 2 NRC OPERATING EXAM	2016-09-29	2016-11-04	2016-09-29	2016-12-06	TO	Trn Ops	False	False	False	True	False	False
158	 AP2-ILO-Class 3-G	Startup Certifications	2016-10-03	2016-11-01	2016-10-03	2016-10-28	TO	Trn Ops	False	False	False	True	False	False
159	 AP2-ILO-Class 3-H	AP2-ILO-Class 3 GOP	2016-11-02	2017-01-04	2016-10-31	2016-12-16	TO	Trn Ops	False	False	True	False	False	False
160	 APP-GW-GEI-300a	Containment PSI Program Plan -  Rev00 - Owner Draft Review	2016-11-08	2016-11-14	2016-11-08	2016-11-14	PSE21	Troficanto-PSE	True	True	False	False	True	True
161	 APP-GW-GEI-300b	Containment PSI Program Plan -  Rev00 - WEC resolve comments	2016-11-15	2016-12-07	2016-11-15	2016-12-07	PSE21	Troficanto-PSE	True	False	False	False	True	False
